"IATA","Airport Name","City Name","Country Name","Population"
"ABB","Asaba","Asaba","Nigeria",73374
"ABJ","Abidjan","Abidjan","Cote D'Ivoire",4007000
"ABV","Abuja","Abuja","Nigeria",174138
"ACC","Accra","Accra","Ghana",1963264
"AEH","Abecher","Abecher","Chad",74188
"AEH","Abeche","Abeche","Chad",74188
"AEO","Aioun el Atrouss","Aioun el Atrouss","Mauritania",21761
"AJY","Agades","Agades","Niger","Missing[""NotAvailable""]"
"AJY","Agadez","Agadez","Niger",88561
"AKE","Akieni","Akieni","Gabon","Missing[""NotAvailable""]"
"AKM","Zakouma","Zakouma","Chad","Missing[""NotAvailable""]"
"AKR","Akure","Akure","Nigeria",420594
"ANJ","Zanaga","Zanaga","Congo","Missing[""NotAvailable""]"
"ARL","Arly","Arly","Burkina Faso","Missing[""NotAvailable""]"
"ASI","Georgetown (SH)","Georgetown (SH)","Saint Helena","Missing[""NotAvailable""]"
"ASI","Georgetown","Georgetown (SH)","Saint Helena","Missing[""NotAvailable""]"
"ASI","Georgetown (XV)","Georgetown (XV)","Saint Helena","Missing[""NotAvailable""]"
"ASI","Ascension Island","Ascension Island","Saint Helena","Missing[""NotAvailable""]"
"ASK","Yamoussoukro","Yamoussoukro","Cote D'Ivoire",194530
"ATR","Atar","Atar","Mauritania",30500
"BBT","Berberati","Berberati","Central African Republic",61815
"BCU","Bauchi","Bauchi","Nigeria",316149
"BDK","Bondoukou","Bondoukou","Cote D'Ivoire",58297
"BDT","Gbadolite","Gbadolite","Congo Democratic Republic of",42647
"BDT","Gbadolite","Gbadolite","Zaire",42647
"BEM","Bossembele","Bossembele","Central African Republic","Missing[""NotAvailable""]"
"BFX","Bafoussam","Bafoussam","Cameroon",290768
"BGF","Bangui","Bangui","Central African Republic",542393
"BIV","Bria","Bria","Central African Republic",29027
"BJL","Banjul","Banjul","Gambia",34589
"BKO","Bamako","Bamako","Mali",1809106
"BKY","Bukavu","Bukavu","Congo Democratic Republic of",471789
"BKY","Bukavu","Bukavu","Zaire",471789
"BMB","Bumba","Bumba","Congo Democratic Republic of",89289
"BMB","Bumba","Bumba","Zaire",89289
"BMM","Bitam","Bitam","Gabon",10297
"BNB","Boende","Boende","Congo Democratic Republic of",29339
"BNB","Boende","Boende","Zaire",29339
"BNC","Beni","Beni","Congo Democratic Republic of",81286
"BNI","Benin City","Benin City","Nigeria",1125058
"BOA","Boma","Boma","Congo Democratic Republic of",344441
"BOP","Bouar","Bouar","Central African Republic",28581
"BOY","Bobo Dioulasso","Bobo Dioulasso","Burkina Faso",435543
"BPC","Bamenda","Bamenda","Cameroon",393835
"BQE","Bubaque","Bubaque","Guinea-Bissau",9941
"BQO","Bouna","Bouna","Cote D'Ivoire",23570
"BRZ","Borotou","Borotou","Cote D'Ivoire","Missing[""NotAvailable""]"
"BSG","Bata","Bata","Equatorial Guinea",173046
"BSU","Basankusu","Basankusu","Congo Democratic Republic of","Missing[""NotAvailable""]"
"BSU","Basankusu","Basankusu","Zaire","Missing[""NotAvailable""]"
"BTA","Bertoua","Bertoua","Cameroon",218111
"BUX","Bunia","Bunia","Congo Democratic Republic of",230625
"BUX","Bunia","Bunia","Zaire",230625
"BVC","Boa Vista Island","Boa Vista Island","Cape Verde","Missing[""NotAvailable""]"
"BVR","Brava","Brava","Cape Verde",1873
"BXI","Boundiali","Boundiali","Cote D'Ivoire",38878
"BYK","Bouake","Bouake","Cote D'Ivoire",573000
"BZV","Brazzaville","Brazzaville","Congo",1375237
"CBQ","Calabar","Calabar","Nigeria",461796
"CKY","Conakry","Conakry","Guinea",1548470
"COO","Cotonou","Cotonou","Benin",719912
"CPA","Cape Palmas","Cape Palmas","Liberia","Missing[""NotAvailable""]"
"CPA","Harper","Harper","Liberia",32661
"CRF","Carnot","Carnot","Central African Republic",38071
"CSK","Cap Skirring","Cap Skirring","Senegal","Missing[""NotAvailable""]"
"CSK","Cap Skiring","Cap Skiring","Senegal","Missing[""NotAvailable""]"
"DIC","Dili (CD)","Dili (CD)","Congo Democratic Republic of",156163
"DIS","Loubomo","Loubomo","Congo",110128
"DIS","Dolisie","Dolisie","Congo",110128
"DJO","Daloa","Daloa","Cote D'Ivoire",215100
"DKA","Katsina","Katsina","Nigeria",432149
"DKR","Dakar","Dakar","Senegal",2396800
"DKR","Dakar Leopold Sedar Senghor","Dakar","Senegal",2396800
"DLA","Douala","Douala","Cameroon",2131832
"DSS","Dakar Blaise Diagne International","Dakar","Senegal",2396800
"DSS","Thies","Thies","Senegal",252320
"DZA","Dzaoudzi","Dzaoudzi","Mayotte",15339
"EMN","Nema","Nema","Mauritania",35815
"ENU","Enugu","Enugu","Nigeria",653392
"EYL","Yelimane","Yelimane","Mali","Missing[""NotAvailable""]"
"FAA","Faranah","Faranah","Guinea",9350
"FBM","Lubumbashi","Lubumbashi","Congo Democratic Republic of",1283380
"FBM","Lubumbashi","Lubumbashi","Zaire",1283380
"FDU","Bandundu","Bandundu","Congo Democratic Republic of",117197
"FIG","Fria","Fria","Guinea",9326
"FIH","Kinshasa N'djili Intl Apt","Kinshasa","Congo Democratic Republic of",7273947
"FIH","Kinshasa N'Djili Intl Apt","Kinshasa (CD) 00","Congo Democratic Republic of","Missing[""NotAvailable""]"
"FIH","Kinshasa N'Djili Intl Apt","Kinshasa","Congo Democratic Republic of",7273947
"FIH","Kinshasa N'djili Apt","Kinshasa","Zaire",7273947
"FIS","Kinshasa","Kinshasa (CD) 00","Congo Democratic Republic of","Missing[""NotAvailable""]"
"FKI","Kisangani","Kisangani","Congo Democratic Republic of",682599
"FKI","Kisangani","Kisangani","Zaire",682599
"FMI","Kalemie","Kalemie","Congo Democratic Republic of",146974
"FMI","Kalemie","Kalemie","Zaire",146974
"FNA","Freetown Lungi International Apt","Freetown","Sierra Leone",772873
"FOU","Fougamou","Fougamou","Gabon",5649
"FTX","Owando","Owando","Congo",23952
"FYT","Faya","Faya","Chad",13400
"FYT","Faya-Largeau","Faya-Largeau","Chad",13400
"GAQ","Gao","Gao","Mali",38190
"GAX","Gamba","Gamba","Gabon",9928
"GEM","Mongomo","Mongomo","Equatorial Guinea",6393
"GMA","Gemena","Gemena","Congo Democratic Republic of",113879
"GMA","Gemena","Gemena","Zaire",113879
"GMO","Gombe","Gombe","Nigeria",250258
"GOM","Goma","Goma","Congo Democratic Republic of","Missing[""NotAvailable""]"
"GOM","Goma","Goma","Zaire",249862
"GOU","Garoua","Garoua","Cameroon",436899
"GUD","Goundam","Goundam","Mali",8456
"HGO","Korhogo","Korhogo","Cote D'Ivoire",167359
"HLE","Jamestown (SH)","Jamestown (SH)","Saint Helena","Missing[""NotAvailable""]"
"IBA","Ibadan","Ibadan","Nigeria",3565108
"ILR","Ilorin","Ilorin","Nigeria",814192
"IMO","Zemio","Zemio","Central African Republic","Missing[""NotAvailable""]"
"INO","Inongo","Inongo","Zaire",39769
"ION","Impfondo","Impfondo","Congo",20729
"IRO","Birao","Birao","Central African Republic",10178
"IRP","Isiro","Isiro","Congo Democratic Republic of",147524
"IRP","Isiro","Isiro","Zaire",147524
"JOS","Jos","Jos","Nigeria",816824
"KAD","Kaduna","Kaduna","Nigeria",1582102
"KAN","Kano","Kano","Nigeria",3626068
"KDA","Kolda","Kolda","Senegal",58809
"KDJ","N'djole","N'djole","Gabon",5098
"KDN","N'dende","N'dende","Gabon",6200
"KED","Kaedi","Kaedi","Mauritania",51407
"KEO","Odienne","Odienne","Cote D'Ivoire",49857
"KFA","Kiffa","Kiffa","Mauritania",67712
"KGA","Kananga","Kananga","Congo Democratic Republic of","Missing[""NotAvailable""]"
"KGA","Kananga","Kananga","Zaire",720362
"KGG","Kedougou","Kedougou","Senegal",17922
"KKW","Kikwit","Kikwit","Congo Democratic Republic of",294210
"KMK","Makabana","Makabana","Congo","Missing[""NotAvailable""]"
"KMN","Kamina","Kamina","Congo Democratic Republic of",115626
"KMS","Kumasi","Kumasi","Ghana",1468609
"KND","Kindu","Kindu","Congo Democratic Republic of",135534
"KND","Kindu","Kindu","Zaire",135534
"KNN","Kankan","Kankan","Guinea",114009
"KNZ","Kenieba","Kenieba","Mali","Missing[""NotAvailable""]"
"KOO","Kongolo","Kongolo","Congo Democratic Republic of",50212
"KOU","Koulamoutou","Koulamoutou","Gabon",16222
"KRZ","Kiri","Kiri","Congo Democratic Republic of","Missing[""NotAvailable""]"
"KWZ","Kolwezi","Kolwezi","Congo Democratic Republic of",909616
"KYS","Kayes","Kayes","Mali",127368
"LBO","Lusambo","Lusambo","Congo Democratic Republic of","Missing[""NotAvailable""]"
"LBQ","Lambarene","Lambarene","Gabon",20714
"LBV","Libreville","Libreville","Gabon",578156
"LEK","Labe","Labe","Guinea",46510
"LFW","Lome","Lome","Togo",921000
"LIQ","Lisala","Lisala","Congo Democratic Republic of",67847
"LIQ","Lisala","Lisala","Zaire",67847
"LJA","Lodja","Lodja","Congo Democratic Republic of","Missing[""NotAvailable""]"
"LJA","Lodja","Lodja","Zaire",52798
"LOS","Lagos","Lagos","Nigeria",7937932
"LRL","Niamtougou","Niamtougou","Togo",24300
"LTL","Lastourville","Lastourville","Gabon","Missing[""NotAvailable""]"
"LZI","Luozi","Luozi","Congo Democratic Republic of","Missing[""NotAvailable""]"
"MAT","Matadi","Matadi","Congo Democratic Republic of",245862
"MAT","Matadi","Matadi","Zaire",245862
"MBC","M'bigou","M'bigou","Gabon",4134
"MDI","Makurdi","Makurdi","Nigeria",292645
"MDK","Mbandaka","Mbandaka","Congo Democratic Republic of",262814
"MDK","Mbandaka","Mbandaka","Zaire",262814
"MFF","Moanda (GA)","Moanda (GA)","Gabon",30151
"MFF","Moanda","Moanda","Gabon",30151
"MFQ","Maradi","Maradi","Niger",163487
"MGX","Moabi","Moabi","Gabon","Missing[""NotAvailable""]"
"MIU","Maiduguri","Maiduguri","Nigeria",1112449
"MJC","Man","Man","Cote D'Ivoire",139341
"MJL","Mouila","Mouila","Gabon",22469
"MJM","Mbuji-Mayi","Mbuji-Mayi","Congo Democratic Republic of",1213726
"MJM","Mbuji-Mayi","Mbuji-Mayi","Zaire",1213726
"MKB","Mekambo","Mekambo","Gabon",3858
"MKJ","Makoua","Makoua","Congo",11355
"MKU","Makokou","Makokou","Gabon",13571
"MLW","Monrovia Sprigg-Payne Apt","Monrovia","Liberia",1010970
"MLW","Monrovia Spriggs Payne Apt","Monrovia","Liberia",1010970
"MMO","Maio Island","Maio Island","Cape Verde","Missing[""NotAvailable""]"
"MNB","Moanda","Moanda","Congo Democratic Republic of",30151
"MNB","Muanda","Muanda","Congo Democratic Republic of","Missing[""NotAvailable""]"
"MNB","Moanda (ZR)","Moanda (ZR)","Zaire",30151
"MNO","Manono","Manono","Congo Democratic Republic of",47632
"MQQ","Moundou","Moundou","Chad",132411
"MTI","Mosteiros","Mosteiros","Cape Verde",477
"MVB","Franceville","Franceville","Gabon",42967
"MVR","Maroua","Maroua","Cameroon",319941
"MVX","Minvoul","Minvoul","Gabon",2894
"MYB","Mayoumba","Mayoumba","Gabon",3996
"MZC","Mitzic","Mitzic","Gabon",3886
"MZI","Mopti","Mopti","Mali",108456
"NAE","Natitingou","Natitingou","Benin",80892
"NBN","Annobon","Annobon","Equatorial Guinea","Missing[""NotAvailable""]"
"NDB","Nouadhibou","Nouadhibou","Mauritania",80181
"NDJ","Ndjamena","Ndjamena","Chad",993492
"NDJ","N'djamena","N'djamena","Chad",993492
"NGE","Ngaoundere","Ngaoundere","Cameroon",231357
"NIM","Niamey","Niamey","Niger",774235
"NIO","Nioki","Nioki","Congo Democratic Republic of",35900
"NIX","Nioro","Nioro","Mali",72080
"NKC","Nouakchott","Nouakchott","Mauritania",846900
"NKL","Kolo","Kolo","Congo Democratic Republic of",22977
"NKY","Nkayi","Nkayi","Congo",57913
"NKY","N'kayi","N'kayi","Congo",57913
"NLO","Kinshasa N'dolo Apt","Kinshasa","Congo Democratic Republic of",7273947
"NLO","Kinshasa N'dolo Apt","Kinshasa (CD) 00","Congo Democratic Republic of","Missing[""NotAvailable""]"
"NSI","Yaounde Nsimalen Intl Apt","Yaounde","Cameroon",1812169
"NTO","Santo Antao","Santo Antao","Cape Verde","Missing[""NotAvailable""]"
"NYI","Sunyani","Sunyani","Ghana",70299
"NZE","Nzerekore","Nzerekore","Guinea",132728
"ODA","Ouadda","Ouadda","Central African Republic",5434
"OFI","Ouango-Fitini","Ouango-Fitini","Cote D'Ivoire","Missing[""NotAvailable""]"
"OKN","Okondja","Okondja","Gabon",7155
"OLL","Oyo","Oyo","Congo",736072
"OMB","Omboue","Omboue","Gabon",1667
"OUA","Ouagadougou","Ouagadougou","Burkina Faso",1504226
"OUE","Ouesso","Ouesso","Congo",25181
"OUZ","Zouerate","Zouerate","Mauritania",44313
"OXB","Bissau","Bissau","Guinea-Bissau",384960
"OYE","Oyem","Oyem","Gabon",30870
"PCP","Principe Island","Principe Island","Sao Tome and Principe","Missing[""NotAvailable""]"
"PHC","Port Harcourt","Port Harcourt","Nigeria",1148665
"PHG","Port Harcourt","Port Harcourt","Nigeria",1148665
"PHG","Port Harcourt City","Port Harcourt City","Nigeria","Missing[""NotAvailable""]"
"PKO","Parakou","Parakou","Benin",163753
"PNR","Pointe-Noire","Pointe-Noire","Congo","Missing[""NotAvailable""]"
"POD","Podor","Podor","Senegal",9709
"POG","Port Gentil","Port Gentil","Gabon",109163
"QOW","Owerri","Owerri","Nigeria",215038
"QRW","Warri","Warri","Nigeria",536023
"QUO","Uyo","Uyo","Nigeria",124683
"RAI","Praia","Praia","Cape Verde",113364
"RLT","Arlit","Arlit","Niger",83369
"ROB","Monrovia Roberts International Apt","Monrovia","Liberia",1010970
"RUE","Butembo","Butembo","Congo Democratic Republic of",165333
"SEO","Seguela","Seguela","Cote D'Ivoire",51157
"SEY","Selibaby","Selibaby","Mauritania",26458
"SEY","Selibabi","Selibaby","Mauritania",26458
"SFL","Sao Filipe","Sao Filipe","Cape Verde",8189
"SIB","Sibiti","Sibiti","Congo",20096
"SID","Sal Island","Sal Island","Cape Verde","Missing[""NotAvailable""]"
"SKO","Sokoto","Sokoto","Nigeria",563861
"SNE","Sao Nicolau","Sao Nicolau Island","Cape Verde","Missing[""NotAvailable""]"
"SNE","Sao Nicolau Island","Sao Nicolau Island","Cape Verde","Missing[""NotAvailable""]"
