prov_name,city_name,date,cum_confirmed,cum_cured,cum_dead
安徽省,安庆市,2020/1/23,1,0,0
安徽省,安庆市,2020/1/24,4,0,0
安徽省,安庆市,2020/1/25,5,0,0
安徽省,安庆市,2020/1/26,8,0,0
安徽省,安庆市,2020/1/27,8,0,0
安徽省,安庆市,2020/1/28,18,0,0
安徽省,安庆市,2020/1/29,24,0,0
安徽省,安庆市,2020/1/30,24,0,0
安徽省,安庆市,2020/1/31,37,0,0
安徽省,安庆市,2020/2/1,31,0,0
安徽省,安庆市,2020/2/2,43,0,0
安徽省,安庆市,2020/2/3,47,0,0
安徽省,安庆市,2020/2/4,55,3,0
安徽省,安庆市,2020/2/5,56,3,0
安徽省,安庆市,2020/2/6,60,3,0
安徽省,安庆市,2020/2/7,66,6,0
安徽省,安庆市,2020/2/8,71,6,0
安徽省,安庆市,2020/2/9,75,12,0
安徽省,安庆市,2020/2/10,78,15,0
安徽省,安庆市,2020/2/11,80,15,0
安徽省,安庆市,2020/2/12,80,15,0
安徽省,安庆市,2020/2/13,80,29,0
安徽省,安庆市,2020/2/14,81,32,0
安徽省,安庆市,2020/2/15,82,33,0
安徽省,安庆市,2020/2/16,82,34,0
安徽省,安庆市,2020/2/17,83,34,0
安徽省,安庆市,2020/2/18,83,39,0
安徽省,安庆市,2020/2/19,83,53,0
安徽省,安庆市,2020/2/20,83,55,0
安徽省,安庆市,2020/2/21,83,61,0
安徽省,安庆市,2020/2/22,83,65,0
安徽省,安庆市,2020/2/23,83,69,0
安徽省,安庆市,2020/2/24,83,69,0
安徽省,安庆市,2020/2/25,83,74,0
安徽省,安庆市,2020/2/26,83,79,0
安徽省,安庆市,2020/2/27,83,80,0
安徽省,安庆市,2020/2/28,83,80,0
安徽省,安庆市,2020/2/29,83,80,0
安徽省,安庆市,2020/3/1,83,82,0
安徽省,安庆市,2020/3/2,83,82,0
安徽省,安庆市,2020/3/3,83,82,0
安徽省,安庆市,2020/3/4,83,83,0
安徽省,安庆市,2020/3/5,83,83,0
安徽省,安庆市,2020/3/6,83,83,0
安徽省,安庆市,2020/3/7,83,83,0
安徽省,安庆市,2020/3/8,83,83,0
安徽省,安庆市,2020/3/9,83,83,0
安徽省,安庆市,2020/3/10,83,83,0
安徽省,安庆市,2020/3/11,83,83,0
安徽省,安庆市,2020/3/12,83,83,0
安徽省,蚌埠市,2020/1/23,1,0,0
安徽省,蚌埠市,2020/1/24,1,0,0
安徽省,蚌埠市,2020/1/25,1,0,0
安徽省,蚌埠市,2020/1/26,3,0,0
安徽省,蚌埠市,2020/1/27,3,0,0
安徽省,蚌埠市,2020/1/28,3,0,0
安徽省,蚌埠市,2020/1/29,8,0,0
安徽省,蚌埠市,2020/1/30,15,0,0
安徽省,蚌埠市,2020/1/31,16,0,0
安徽省,蚌埠市,2020/2/1,16,0,0
安徽省,蚌埠市,2020/2/2,26,0,0
安徽省,蚌埠市,2020/2/3,37,0,0
安徽省,蚌埠市,2020/2/4,43,0,0
安徽省,蚌埠市,2020/2/5,48,0,0
安徽省,蚌埠市,2020/2/6,64,0,0
安徽省,蚌埠市,2020/2/7,88,1,0
安徽省,蚌埠市,2020/2/8,99,1,0
安徽省,蚌埠市,2020/2/9,115,1,1
安徽省,蚌埠市,2020/2/10,126,2,3
安徽省,蚌埠市,2020/2/11,134,2,3
安徽省,蚌埠市,2020/2/12,141,2,3
安徽省,蚌埠市,2020/2/13,146,3,4
安徽省,蚌埠市,2020/2/14,149,3,5
安徽省,蚌埠市,2020/2/15,153,7,5
安徽省,蚌埠市,2020/2/16,157,9,5
安徽省,蚌埠市,2020/2/17,158,13,5
安徽省,蚌埠市,2020/2/18,158,30,5
安徽省,蚌埠市,2020/2/19,160,56,5
安徽省,蚌埠市,2020/2/20,160,81,5
安徽省,蚌埠市,2020/2/21,160,101,5
安徽省,蚌埠市,2020/2/22,160,107,5
安徽省,蚌埠市,2020/2/23,160,113,5
安徽省,蚌埠市,2020/2/24,160,119,5
安徽省,蚌埠市,2020/2/25,160,127,5
安徽省,蚌埠市,2020/2/26,160,136,5
安徽省,蚌埠市,2020/2/27,160,141,5
安徽省,蚌埠市,2020/2/28,160,136,5
安徽省,蚌埠市,2020/2/29,160,141,5
安徽省,蚌埠市,2020/3/1,160,144,5
安徽省,蚌埠市,2020/3/2,160,146,5
安徽省,蚌埠市,2020/3/3,160,152,5
安徽省,蚌埠市,2020/3/4,160,155,5
安徽省,蚌埠市,2020/3/5,160,155,5
安徽省,蚌埠市,2020/3/6,160,155,5
安徽省,蚌埠市,2020/3/7,160,155,5
安徽省,蚌埠市,2020/3/8,160,155,5
安徽省,蚌埠市,2020/3/9,160,155,5
安徽省,蚌埠市,2020/3/10,160,155,5
安徽省,蚌埠市,2020/3/11,160,155,5
安徽省,蚌埠市,2020/3/12,160,155,5
安徽省,亳州市,2020/1/23,1,0,0
安徽省,亳州市,2020/1/24,4,0,0
安徽省,亳州市,2020/1/25,6,0,0
安徽省,亳州市,2020/1/26,6,0,0
安徽省,亳州市,2020/1/27,8,0,0
安徽省,亳州市,2020/1/28,15,0,0
安徽省,亳州市,2020/1/29,20,1,0
安徽省,亳州市,2020/1/30,20,1,0
安徽省,亳州市,2020/1/31,25,1,0
安徽省,亳州市,2020/2/1,25,2,0
安徽省,亳州市,2020/2/2,30,2,0
安徽省,亳州市,2020/2/3,39,2,0
安徽省,亳州市,2020/2/4,48,2,0
安徽省,亳州市,2020/2/5,58,2,0
安徽省,亳州市,2020/2/6,66,5,0
安徽省,亳州市,2020/2/7,72,5,0
安徽省,亳州市,2020/2/8,81,5,0
安徽省,亳州市,2020/2/9,87,5,0
安徽省,亳州市,2020/2/10,92,7,0
安徽省,亳州市,2020/2/11,92,7,0
安徽省,亳州市,2020/2/12,97,12,0
安徽省,亳州市,2020/2/13,100,16,0
安徽省,亳州市,2020/2/14,106,19,0
安徽省,亳州市,2020/2/15,107,25,0
安徽省,亳州市,2020/2/16,108,35,0
安徽省,亳州市,2020/2/17,108,35,0
安徽省,亳州市,2020/2/18,108,47,0
安徽省,亳州市,2020/2/19,108,65,0
安徽省,亳州市,2020/2/20,108,70,0
安徽省,亳州市,2020/2/21,108,73,0
安徽省,亳州市,2020/2/22,108,80,0
安徽省,亳州市,2020/2/23,108,81,0
安徽省,亳州市,2020/2/24,108,87,0
安徽省,亳州市,2020/2/25,108,89,0
安徽省,亳州市,2020/2/26,108,99,0
安徽省,亳州市,2020/2/27,108,100,0
安徽省,亳州市,2020/2/28,108,99,0
安徽省,亳州市,2020/2/29,108,100,0
安徽省,亳州市,2020/3/1,108,103,0
安徽省,亳州市,2020/3/2,108,107,0
安徽省,亳州市,2020/3/3,108,107,0
安徽省,亳州市,2020/3/4,108,107,0
安徽省,亳州市,2020/3/5,108,108,0
安徽省,亳州市,2020/3/6,108,108,0
安徽省,亳州市,2020/3/7,108,108,0
安徽省,亳州市,2020/3/8,108,108,0
安徽省,亳州市,2020/3/9,108,108,0
安徽省,亳州市,2020/3/10,108,108,0
安徽省,亳州市,2020/3/11,108,108,0
安徽省,亳州市,2020/3/12,108,108,0
安徽省,池州市,2020/1/23,1,0,0
安徽省,池州市,2020/1/24,1,0,0
安徽省,池州市,2020/1/25,1,0,0
安徽省,池州市,2020/1/26,1,0,0
安徽省,池州市,2020/1/27,1,0,0
安徽省,池州市,2020/1/28,1,0,0
安徽省,池州市,2020/1/29,2,0,0
安徽省,池州市,2020/1/30,4,0,0
安徽省,池州市,2020/1/31,4,0,0
安徽省,池州市,2020/2/1,4,0,0
安徽省,池州市,2020/2/2,6,0,0
安徽省,池州市,2020/2/3,6,1,0
安徽省,池州市,2020/2/4,10,1,0
安徽省,池州市,2020/2/5,11,1,0
安徽省,池州市,2020/2/6,11,1,0
安徽省,池州市,2020/2/7,11,1,0
安徽省,池州市,2020/2/8,11,1,0
安徽省,池州市,2020/2/9,12,1,0
安徽省,池州市,2020/2/10,15,3,0
安徽省,池州市,2020/2/11,15,3,0
安徽省,池州市,2020/2/12,16,3,0
安徽省,池州市,2020/2/13,16,3,0
安徽省,池州市,2020/2/14,17,4,0
安徽省,池州市,2020/2/15,17,4,0
安徽省,池州市,2020/2/16,17,6,0
安徽省,池州市,2020/2/17,17,6,0
安徽省,池州市,2020/2/18,17,6,0
安徽省,池州市,2020/2/19,17,10,0
安徽省,池州市,2020/2/20,17,10,0
安徽省,池州市,2020/2/21,17,10,0
安徽省,池州市,2020/2/22,17,10,0
安徽省,池州市,2020/2/23,17,13,0
安徽省,池州市,2020/2/24,17,13,0
安徽省,池州市,2020/2/25,17,13,0
安徽省,池州市,2020/2/26,17,13,0
安徽省,池州市,2020/2/27,17,13,0
安徽省,池州市,2020/2/28,17,13,0
安徽省,池州市,2020/2/29,17,13,0
安徽省,池州市,2020/3/1,17,13,0
安徽省,池州市,2020/3/2,17,15,0
安徽省,池州市,2020/3/3,17,16,0
安徽省,池州市,2020/3/4,17,16,0
安徽省,池州市,2020/3/5,17,17,0
安徽省,池州市,2020/3/6,17,17,0
安徽省,池州市,2020/3/7,17,17,0
安徽省,池州市,2020/3/8,17,17,0
安徽省,池州市,2020/3/9,17,17,0
安徽省,池州市,2020/3/10,17,17,0
安徽省,池州市,2020/3/11,17,17,0
安徽省,池州市,2020/3/12,17,17,0
安徽省,滁州市,2020/1/23,1,0,0
安徽省,滁州市,2020/1/24,2,0,0
安徽省,滁州市,2020/1/25,2,0,0
安徽省,滁州市,2020/1/26,2,0,0
安徽省,滁州市,2020/1/27,4,0,0
安徽省,滁州市,2020/1/28,4,0,0
安徽省,滁州市,2020/1/29,4,0,0
安徽省,滁州市,2020/1/30,4,0,0
安徽省,滁州市,2020/1/31,6,0,0
安徽省,滁州市,2020/2/1,6,0,0
安徽省,滁州市,2020/2/2,6,0,0
安徽省,滁州市,2020/2/3,8,1,0
安徽省,滁州市,2020/2/4,11,1,0
安徽省,滁州市,2020/2/5,11,1,0
安徽省,滁州市,2020/2/6,11,2,0
安徽省,滁州市,2020/2/7,11,2,0
安徽省,滁州市,2020/2/8,11,2,0
安徽省,滁州市,2020/2/9,11,2,0
