time,country,cum_confirm,cum_heal,cum_dead
2019-12-01,中国,1,0,0
2019-12-02,中国,1,0,0
2019-12-03,中国,1,0,0
2019-12-04,中国,1,0,0
2019-12-05,中国,1,0,0
2019-12-06,中国,1,0,0
2019-12-07,中国,1,0,0
2019-12-08,中国,1,0,0
2019-12-09,中国,1,0,0
2019-12-10,中国,1,0,0
2019-12-11,中国,4,0,0
2019-12-12,中国,4,0,0
2019-12-13,中国,4,0,0
2019-12-14,中国,4,0,0
2019-12-15,中国,6,0,0
2019-12-16,中国,6,0,0
2019-12-17,中国,7,0,0
2019-12-18,中国,8,0,0
2019-12-19,中国,9,0,0
2019-12-20,中国,14,0,0
2019-12-21,中国,18,0,0
2019-12-22,中国,21,0,0
2019-12-23,中国,29,0,0
2019-12-24,中国,30,0,0
2019-12-25,中国,33,0,0
2019-12-26,中国,35,0,0
2019-12-27,中国,37,0,0
2019-12-28,中国,37,0,0
2019-12-29,中国,37,0,0
2019-12-30,中国,37,0,0
2019-12-31,中国,40,0,0
2020-01-01,中国,43,0,0
2020-01-02,中国,44,0,0
2020-01-03,中国,44,0,0
2020-01-04,中国,44,0,0
2020-01-05,中国,44,0,0
2020-01-06,中国,44,0,0
2020-01-07,中国,44,0,0
2020-01-08,中国,44,0,0
2020-01-09,中国,44,0,0
2020-01-10,中国,44,2,1
2020-01-11,中国,44,6,1
2020-01-12,中国,44,7,1
2020-01-13,中国,44,7,1
2020-01-14,中国,44,7,1
2020-01-15,中国,44,12,2
2020-01-16,日本,1,1,0
2020-01-16,泰国,1,0,0
2020-01-16,中国,45,15,2
2020-01-17,日本,1,1,0
2020-01-17,中国,62,19,2
2020-01-18,日本,1,1,0
2020-01-18,中国,198,24,3
2020-01-19,日本,1,1,0
2020-01-19,中国,275,25,4
2020-01-20,韩国,1,0,0
2020-01-20,日本,1,1,0
2020-01-20,泰国,2,0,0
2020-01-20,中国,291,25,6
2020-01-21,韩国,1,0,0
2020-01-21,日本,1,1,0
2020-01-21,泰国,3,0,0
2020-01-21,中国,440,25,9
2020-01-22,韩国,1,0,0
2020-01-22,美国,1,0,0
2020-01-22,日本,1,1,0
2020-01-22,泰国,3,0,0
2020-01-22,中国,571,25,17
2020-01-23,韩国,1,0,0
2020-01-23,美国,1,0,0
2020-01-23,日本,1,1,0
2020-01-23,泰国,3,2,0
2020-01-23,新加坡,1,0,0
2020-01-23,越南,2,0,0
2020-01-23,中国,830,34,25
2020-01-24,法国,2,0,0
2020-01-24,韩国,2,0,0
2020-01-24,美国,2,0,0
2020-01-24,尼泊尔,1,0,0
