IATA,Airport Name,City Name,Country Name,WAC State,WAC Sub Country,WAC Country,Longitude,Latitude,Eff From,Eff To
ABB,Asaba,Asaba,Nigeria,,,555,006.40.02E,06.12.11N,1-Dec-11,31-Dec-38
ABJ,Abidjan,Abidjan,Cote D'Ivoire,,,533,003.55.35W,05.15.41N,1-Jan-96,31-Dec-38
ABV,Abuja,Abuja,Nigeria,,,555,007.15.47E,09.00.24N,1-Jan-96,31-Dec-38
ACC,Accra,Accra,Ghana,,,529,000.10.00W,05.36.19N,1-Jan-96,31-Dec-38
AEH,Abecher,Abecher,Chad,,,511,020.50.40E,13.50.51N,1-Jan-96,31-Dec-96
AEH,Abecher,Abecher,Chad,,,511,020.50.40E,13.50.51N,1-Apr-05,31-Mar-09
AEH,Abecher,Abecher,Chad,,,511,020.50.40E,13.50.51N,1-May-09,31-Oct-09
AEH,Abecher,Abecher,Chad,,,511,020.50.40E,13.50.51N,1-Oct-10,31-Mar-11
AEH,Abeche,Abeche,Chad,,,511,020.50.40E,13.50.51N,1-May-11,31-Dec-38
AEO,Aioun el Atrouss,Aioun el Atrouss,Mauritania,,,545,009.39.00W,16.42.00N,1-Jan-96,31-Dec-98
AEO,Aioun el Atrouss,Aioun el Atrouss,Mauritania,,,545,009.39.00W,16.42.00N,1-Feb-99,31-Oct-00
AEO,Aioun el Atrouss,Aioun el Atrouss,Mauritania,,,545,009.39.00W,16.42.00N,1-Jul-01,31-Aug-01
AEO,Aioun el Atrouss,Aioun el Atrouss,Mauritania,,,545,009.39.00W,16.42.00N,1-Feb-02,30-Nov-04
AEO,Aioun el Atrouss,Aioun el Atrouss,Mauritania,,,545,009.39.00W,16.42.00N,1-Nov-05,31-Dec-38
AJY,Agades,Agades,Niger,,,554,007.59.00E,16.58.00N,2-Nov-96,31-Oct-99
AJY,Agades,Agades,Niger,,,554,007.59.00E,16.58.00N,1-Mar-01,31-Jul-02
AJY,Agades,Agades,Niger,,,554,007.59.00E,16.58.00N,1-Apr-04,31-Mar-05
AJY,Agades,Agades,Niger,,,554,007.59.00E,16.58.00N,1-May-05,31-Mar-06
AJY,Agades,Agades,Niger,,,554,007.59.00E,16.58.00N,1-May-09,30-Jun-09
